wave,coder,code,name,bes_share,model_share,gap
9,human,2,Education,0.00144,0.00151,-8e-05
9,human,3,Election outcome,0.0067,0.00763,-0.00093
9,human,4,Pol-neg,0.04976,0.04814,0.00162
9,human,5,Partisan-neg,0.00969,0.01112,-0.00143
9,human,6,Societal divides,0.01089,0.0099,0.00098
9,human,7,Morals,0.00144,0.00159,-0.00016
9,human,8,"Nat ident, goals-loss",0.00156,0.0018,-0.00025
9,human,9,Racism/discrimination,0.00419,0.00449,-0.0003
9,human,10,Welfare,0.00191,0.00201,-0.0001
9,human,11,Terrorism,0.00909,0.00928,-0.00019
9,human,12,Immigration,0.15766,0.1573,0.00036
9,human,13,Asylum,0.00036,0.00032,4e-05
9,human,14,Crime,0.00167,0.00195,-0.00028
9,human,15,Europe,0.54833,0.54155,0.00677
9,human,16,Constitutional,0.00096,0.00194,-0.00099
9,human,17,International trade,0.00311,0.00363,-0.00052
9,human,18,Devolution,0.00024,0.00063,-0.00039
9,human,19,Scot-ind,0.01112,0.01196,-0.00084
9,human,21,Foreign affairs,0.00048,0.00081,-0.00033
9,human,22,War,0.00036,0.00049,-0.00013
9,human,23,Defence,0.00096,0.00109,-0.00013
9,human,24,Foreign emergency,0.0,2e-05,-2e-05
9,human,25,Domestic emergency,0.0,0.00012,-0.00012
9,human,26,Economy-general,0.08074,0.08086,-0.00012
9,human,27,Economy-personal,0.00024,0.00041,-0.00017
9,human,28,Unemployment,0.00419,0.00442,-0.00024
9,human,29,Taxation,0.0006,0.00065,-5e-05
9,human,30,Debt/deficit,0.00227,0.0025,-0.00023
9,human,31,Inflation,0.00024,0.00036,-0.00012
9,human,32,Living costs,0.0012,0.0018,-0.0006
9,human,33,Poverty,0.00191,0.00211,-0.0002
9,human,34,Austerity,0.00514,0.00425,0.00089
9,human,35,Inequality,0.00933,0.0098,-0.00047
9,human,36,Housing,0.00849,0.00837,0.00013
9,human,37,Social care,0.00012,6e-05,6e-05
9,human,38,Pensions/ageing,0.00132,0.00133,-1e-05
9,human,39,Transport/infrastructure,0.00048,0.00036,0.00012
9,human,40,Environment,0.00825,0.00869,-0.00044
9,human,41,Pol values-auth,0.0,0.00031,-0.00031
9,human,42,Pol values-liberal,0.0012,0.0014,-0.00021
9,human,43,Pol values-right,0.00012,0.00023,-0.00011
9,human,44,Pol values-left,0.00156,0.00187,-0.00032
9,human,45,Other,0.00012,0.00014,-2e-05
9,human,46,Uncoded,0.00742,0.00709,0.00033
9,human,47,Referendum unspecified,0.02177,0.02093,0.00084
